Date,Close,Symbol
2010-03-22,224.75,WIKI/AAPL.4
2010-03-23,228.36,WIKI/AAPL.4
2010-03-24,229.37,WIKI/AAPL.4
2010-03-25,226.65,WIKI/AAPL.4
2010-03-26,230.9,WIKI/AAPL.4
2010-03-29,232.39,WIKI/AAPL.4
2010-03-30,235.845,WIKI/AAPL.4
2010-03-31,235.0,WIKI/AAPL.4
2010-04-01,235.97,WIKI/AAPL.4
2010-04-05,238.49,WIKI/AAPL.4
2010-04-06,239.54,WIKI/AAPL.4
2010-04-07,240.6,WIKI/AAPL.4
2010-04-08,239.95,WIKI/AAPL.4
2010-04-09,241.79,WIKI/AAPL.4
2010-04-12,242.29,WIKI/AAPL.4
2010-04-13,242.43,WIKI/AAPL.4
2010-04-14,245.69,WIKI/AAPL.4
2010-04-15,248.92,WIKI/AAPL.4
2010-04-16,247.4,WIKI/AAPL.4
2010-04-19,247.07,WIKI/AAPL.4
2010-04-20,244.59,WIKI/AAPL.4
2010-04-21,259.22,WIKI/AAPL.4
2010-04-22,266.4695,WIKI/AAPL.4
2010-04-23,270.83,WIKI/AAPL.4
2010-04-26,269.5,WIKI/AAPL.4
2010-04-27,262.04,WIKI/AAPL.4
2010-04-28,261.6,WIKI/AAPL.4
2010-04-29,268.64,WIKI/AAPL.4
2010-04-30,261.09,WIKI/AAPL.4
2010-05-03,266.35,WIKI/AAPL.4
2010-05-04,258.68,WIKI/AAPL.4
2010-05-05,255.985,WIKI/AAPL.4
2010-05-06,246.25,WIKI/AAPL.4
2010-05-07,235.86,WIKI/AAPL.4
2010-05-10,253.99,WIKI/AAPL.4
2010-05-11,256.52,WIKI/AAPL.4
2010-05-12,262.09,WIKI/AAPL.4
2010-05-13,258.36,WIKI/AAPL.4
2010-05-14,253.82,WIKI/AAPL.4
2010-05-17,254.22,WIKI/AAPL.4
2010-05-18,252.36,WIKI/AAPL.4
2010-05-19,248.34,WIKI/AAPL.4
2010-05-20,237.76,WIKI/AAPL.4
2010-05-21,242.32,WIKI/AAPL.4
2010-05-24,246.76,WIKI/AAPL.4
2010-05-25,245.22,WIKI/AAPL.4
2010-05-26,244.109,WIKI/AAPL.4
2010-05-27,253.35,WIKI/AAPL.4
2010-05-28,256.88,WIKI/AAPL.4
2010-06-01,260.83,WIKI/AAPL.4
2010-06-02,263.95,WIKI/AAPL.4
2010-06-03,263.12,WIKI/AAPL.4
2010-06-04,255.965,WIKI/AAPL.4
2010-06-07,250.94,WIKI/AAPL.4
2010-06-08,249.33,WIKI/AAPL.4
2010-06-09,243.2,WIKI/AAPL.4
2010-06-10,250.51,WIKI/AAPL.4
2010-06-11,253.51,WIKI/AAPL.4
2010-06-14,254.28,WIKI/AAPL.4
2010-06-15,259.69,WIKI/AAPL.4
2010-06-16,267.25,WIKI/AAPL.4
2010-06-17,271.87,WIKI/AAPL.4
2010-06-18,274.074,WIKI/AAPL.4
2010-06-21,270.17,WIKI/AAPL.4
2010-06-22,273.85,WIKI/AAPL.4
2010-06-23,270.97,WIKI/AAPL.4
2010-06-24,269.0,WIKI/AAPL.4
2010-06-25,266.7,WIKI/AAPL.4
2010-06-28,268.3,WIKI/AAPL.4
2010-06-29,256.17,WIKI/AAPL.4
2010-06-30,251.53,WIKI/AAPL.4
2010-07-01,248.48,WIKI/AAPL.4
2010-07-02,246.94,WIKI/AAPL.4
2010-07-06,248.63,WIKI/AAPL.4
2010-07-07,258.665,WIKI/AAPL.4
2010-07-08,258.09,WIKI/AAPL.4
2010-07-09,259.62,WIKI/AAPL.4
2010-07-12,257.285,WIKI/AAPL.4
2010-07-13,251.798,WIKI/AAPL.4
2010-07-14,252.727,WIKI/AAPL.4
2010-07-15,251.45,WIKI/AAPL.4
2010-07-16,249.9,WIKI/AAPL.4
2010-07-19,245.58,WIKI/AAPL.4
2010-07-20,251.89,WIKI/AAPL.4
2010-07-21,254.24,WIKI/AAPL.4
2010-07-22,259.024,WIKI/AAPL.4
2010-07-23,259.94,WIKI/AAPL.4
2010-07-26,259.28,WIKI/AAPL.4
2010-07-27,264.08,WIKI/AAPL.4
2010-07-28,260.96,WIKI/AAPL.4
2010-07-29,258.11,WIKI/AAPL.4
2010-07-30,257.25,WIKI/AAPL.4
2010-08-02,261.85,WIKI/AAPL.4
2010-08-03,261.93,WIKI/AAPL.4
2010-08-04,262.98,WIKI/AAPL.4
2010-08-05,261.7,WIKI/AAPL.4
2010-08-06,260.091,WIKI/AAPL.4
2010-08-09,261.75,WIKI/AAPL.4
2010-08-10,259.41,WIKI/AAPL.4
2010-08-11,250.19,WIKI/AAPL.4
2010-08-12,251.79,WIKI/AAPL.4
2010-08-13,249.1,WIKI/AAPL.4
