,open,high,low,last,close,volume,date,symbol,exchange
87,143.08,143.3,137.27,137.84,142.64,770189.0,2022-06-10T16:00:00+0000,AAPL,IEXG
88,143.08,143.3,137.385,137.63,142.64,575042.0,2022-06-10T15:00:00+0000,AAPL,IEXG
89,143.08,143.3,138.24,138.25,142.64,255055.0,2022-06-10T14:00:00+0000,AAPL,IEXG
90,143.08,143.3,139.74,139.94,142.64,9938.0,2022-06-10T13:00:00+0000,AAPL,IEXG
91,142.63,142.63,142.63,,,,2022-06-10T00:00:00+0000,AAPL,IEXG
92,144.755,144.79,144.68,,,,2022-06-09T23:00:00+0000,AAPL,IEXG
93,146.04,146.04,145.91,,,,2022-06-09T22:00:00+0000,AAPL,IEXG
94,146.39,146.42,146.315,,,,2022-06-09T21:00:00+0000,AAPL,IEXG
95,146.335,146.38,146.26,,,,2022-06-09T20:00:00+0000,AAPL,IEXG
96,147.08,147.94,144.71,144.74,147.96,401091.0,2022-06-09T19:00:00+0000,AAPL,IEXG
97,147.08,147.94,145.58,146.04,147.96,303888.0,2022-06-09T18:00:00+0000,AAPL,IEXG
98,147.08,147.94,145.8,146.4,147.96,227140.0,2022-06-09T17:00:00+0000,AAPL,IEXG
99,147.08,147.94,145.95,146.28,147.96,96487.0,2022-06-09T16:00:00+0000,AAPL,IEXG
