,datadate_full,tic,Close,Volume,Low,High,Open
539,2018-09-18,AAPL,18.997333526611328,248212500,18.366666793823242,20.176000595092773,19.779333114624023
540,2018-09-19,TSLA,54.592498779296875,108495200,53.82500076293945,54.904998779296875,54.625
541,2018-09-19,AAPL,59.0,1105900,58.90999984741211,59.7400016784668,59.619998931884766
542,2018-09-19,SONY,19.934667587280273,124423500,18.700000762939453,20.0,18.700666427612305
543,2018-09-20,TSLA,55.00749969482422,106435200,54.787498474121094,55.56999969482422,55.060001373291016
544,2018-09-20,SONY,59.099998474121094,678300,58.779998779296875,59.150001525878906,58.95000076293945
545,2018-09-20,AAPL,19.8886661529541,110241000,19.55533218383789,20.398666381835938,20.237333297729492
546,2018-09-21,TSLA,54.415000915527344,384986800,54.3224983215332,55.34000015258789,55.19499969482422
547,2018-09-21,AAPL,57.0,3685600,56.63999938964844,58.040000915527344,57.400001525878906
548,2018-09-21,SONY,19.940000534057617,75757500,19.691333770751953,20.038667678833008,19.84666633605957
549,2018-09-24,TSLA,55.1974983215332,110773600,54.157501220703125,55.314998626708984,54.20500183105469
550,2018-09-24,SONY,56.849998474121094,1276700,56.650001525878906,57.119998931884766,56.939998626708984
551,2018-09-24,AAPL,19.978666305541992,72645000,19.57200050354004,20.200000762939453,19.898666381835938
552,2018-09-25,TSLA,55.54750061035156,98217600,54.92499923706055,55.70500183105469,54.9375
553,2018-09-25,AAPL,58.529998779296875,1154700,58.31999969482422,58.79999923706055,58.70000076293945
554,2018-09-25,SONY,20.06599998474121,67225500,19.766666412353516,20.30666732788086,20.0
555,2018-09-26,TSLA,55.10499954223633,95938800,54.939998626708984,55.9375,55.25
556,2018-09-26,SONY,59.45000076293945,1068800,59.310001373291016,59.79999923706055,59.709999084472656
557,2018-09-26,AAPL,20.6386661529541,117648000,20.073999404907227,20.926000595092773,20.12733268737793
558,2018-09-27,TSLA,56.23749923706055,120724800,55.8849983215332,56.61000061035156,55.95500183105469
559,2018-09-27,AAPL,59.529998779296875,608600,59.189998626708984,59.79999923706055,59.38999938964844
560,2018-09-27,SONY,20.501333236694336,127636500,20.46066665649414,20.997333526611328,20.860000610351562
561,2018-09-28,TSLA,56.435001373291016,91717600,56.005001068115234,56.459999084472656,56.1974983215332
562,2018-09-28,SONY,60.650001525878906,1584600,60.470001220703125,61.0,61.0
563,2018-09-28,AAPL,17.65133285522461,504745500,17.37066650390625,18.53333282470703,18.017332077026367
564,2018-10-01,TSLA,56.814998626708984,94403200,56.587501525878906,57.35499954223633,56.98749923706055
565,2018-10-01,AAPL,60.58000183105469,632300,60.529998779296875,61.02000045776367,60.810001373291016
566,2018-10-01,SONY,20.713333129882812,326664000,20.06999969482422,20.762666702270508,20.384666442871094
567,2018-10-02,TSLA,57.31999969482422,99152800,56.657501220703125,57.5,56.8125
568,2018-10-02,SONY,59.81999969482422,727200,59.709999084472656,60.16999816894531,60.099998474121094
569,2018-10-02,AAPL,20.06800079345703,176152500,19.94333267211914,21.12266731262207,20.93000030517578
570,2018-10-03,TSLA,58.01750183105469,114619200,57.44499969482422,58.36750030517578,57.51250076293945
571,2018-10-03,AAPL,58.31999969482422,979300,58.2599983215332,58.66999816894531,58.650001525878906
572,2018-10-03,SONY,19.65333366394043,119925000,19.437999725341797,20.30666732788086,20.222000122070312
573,2018-10-04,TSLA,56.997501373291016,128168000,56.682498931884766,58.087501525878906,57.69499969482422
574,2018-10-04,SONY,57.06999969482422,1836000,56.70000076293945,58.16999816894531,58.150001525878906
575,2018-10-04,AAPL,18.788667678833008,147213000,18.511333465576172,19.600000381469727,19.59666633605957
576,2018-10-05,TSLA,56.0724983215332,134322000,55.14500045776367,57.102500915527344,56.9900016784668
577,2018-10-05,AAPL,57.22999954223633,775400,56.790000915527344,57.90999984741211,57.75
578,2018-10-05,SONY,17.463333129882812,269167500,17.333332061767578,18.325332641601562,18.309999465942383
579,2018-10-08,TSLA,55.942501068115234,118655600,55.04999923706055,56.20000076293945,55.5525016784668
580,2018-10-08,SONY,57.06999969482422,937700,56.45000076293945,57.33000183105469,56.900001525878906
581,2018-10-08,AAPL,16.70400047302246,202090500,16.600000381469727,17.85066795349121,17.634666442871094
582,2018-10-09,TSLA,56.717498779296875,107564000,55.5625,56.817501068115234,55.90999984741211
583,2018-10-09,AAPL,57.970001220703125,1069700,57.779998779296875,58.22999954223633,57.810001373291016
584,2018-10-09,SONY,17.520000457763672,180909000,16.886667251586914,17.784666061401367,17.016666412353516
585,2018-10-10,TSLA,54.09000015258789,167962400,54.01250076293945,56.587501525878906,56.3650016784668
586,2018-10-10,SONY,56.099998474121094,1611400,56.040000915527344,57.88999938964844,57.86000061035156
587,2018-10-10,AAPL,17.125333786010742,192229500,16.51799964904785,17.700666427612305,17.640666961669922
588,2018-10-11,TSLA,53.61249923706055,212497600,53.08000183105469,54.875,53.630001068115234
589,2018-10-11,AAPL,55.52000045776367,1296800,55.20000076293945,56.619998931884766,55.9900016784668
590,2018-10-11,SONY,16.815332412719727,122515500,16.601999282836914,17.483333587646484,17.16866683959961
591,2018-10-12,TSLA,55.52750015258789,161351600,54.209999084472656,55.720001220703125,55.10499954223633
592,2018-10-12,SONY,55.5099983215332,1411800,54.88999938964844,56.16999816894531,55.7400016784668
593,2018-10-12,AAPL,17.25200080871582,108021000,16.80066680908203,17.465999603271484,17.399999618530273
594,2018-10-15,TSLA,54.34000015258789,123164000,54.317501068115234,55.45750045776367,55.290000915527344
595,2018-10-15,AAPL,56.25,1403300,55.41999816894531,56.630001068115234,55.560001373291016
596,2018-10-15,SONY,17.305999755859375,93000000,16.96933364868164,17.552000045776367,17.270666122436523
597,2018-10-16,TSLA,55.537498474121094,116736000,54.189998626708984,55.747501373291016,54.73249816894531
598,2018-10-16,SONY,57.5,1339500,56.790000915527344,57.529998779296875,56.900001525878906
599,2018-10-16,AAPL,18.439332962036133,142896000,17.482667922973633,18.492000579833984,17.713333129882812
600,2018-10-17,TSLA,55.29750061035156,91541600,54.834999084472656,55.65999984741211,55.57500076293945
601,2018-10-17,AAPL,57.900001525878906,1160300,57.40999984741211,58.119998931884766,57.88999938964844
602,2018-10-17,SONY,18.118667602539062,129832500,17.719999313354492,18.84666633605957,18.82666778564453
603,2018-10-18,TSLA,54.005001068115234,130325200,53.25,54.935001373291016,54.46500015258789
604,2018-10-18,SONY,56.029998779296875,1755400,55.61000061035156,57.20000076293945,57.20000076293945
605,2018-10-18,AAPL,17.5939998626709,81318000,17.53333282470703,18.066667556762695,17.952667236328125
606,2018-10-19,TSLA,54.82749938964844,132314800,54.35749816894531,55.314998626708984,54.51499938964844
607,2018-10-19,AAPL,55.66999816894531,769200,55.650001525878906,56.66999816894531,56.47999954223633
608,2018-10-19,SONY,17.333332061767578,140632500,16.899999618530273,17.977333068847656,17.826000213623047
609,2018-10-22,TSLA,55.162498474121094,115168400,54.73500061035156,55.84000015258789,54.9474983215332
610,2018-10-22,SONY,55.779998779296875,503000,55.470001220703125,56.13999938964844,56.0
611,2018-10-22,AAPL,17.39666748046875,84004500,16.839332580566406,17.457332611083984,17.3786678314209
612,2018-10-23,TSLA,55.682498931884766,155071200,53.67499923706055,55.8125,53.95750045776367
613,2018-10-23,AAPL,55.06999969482422,1461800,53.349998474121094,55.25,54.5
614,2018-10-23,SONY,19.609333038330078,285417000,17.47333335876465,19.86199951171875,17.591333389282227
615,2018-10-24,TSLA,53.772499084472656,163702000,53.6349983215332,56.057498931884766,55.650001525878906
