Date,AAPL,holdings,cash,total,returns
2012-01-31,1630.28564453125,1630.28564453125,98530.50003051758,100160.78567504883,0.0001237444421415823
2012-02-01,1629.2499542236328,1629.2499542236328,98530.50003051758,100159.74998474121,-1.03402773913297e-05
2012-02-02,1625.428581237793,1625.428581237793,98530.50003051758,100155.92861175537,-3.815278079688511e-05
2012-02-03,1641.7142868041992,1641.7142868041992,98530.50003051758,100172.21431732178,0.00016260351026775588
2012-02-06,1657.0356369018555,1657.0356369018555,98530.50003051758,100187.53566741943,0.00015295009900762047
2012-02-07,1674.3928909301758,1674.3928909301758,98530.50003051758,100204.89292144775,0.00017324763916670705
2012-02-08,1702.4286270141602,1702.4286270141602,98530.50003051758,100232.92865753174,0.00027978410301732204
2012-02-09,1761.3214492797852,1761.3214492797852,98530.50003051758,100291.82147979736,0.0005875596279028006
2012-02-10,1762.2142791748047,1762.2142791748047,98530.50003051758,100292.71430969238,8.902320068004954e-06
2012-02-13,1795.0000762939453,1795.0000762939453,98530.50003051758,100325.50010681152,0.00032690108493715897
2012-02-14,1819.4999694824219,1819.4999694824219,98530.50003051758,100350.0,0.0002442040474495144
2012-02-15,1777.3929595947266,1777.3929595947266,98530.50003051758,100307.8929901123,-0.00041960149364916877
2012-02-16,1793.6071395874023,1793.6071395874023,98530.50003051758,100324.10717010498,0.00016164410904617732
2012-02-17,1793.2857513427734,1793.2857513427734,98530.50003051758,100323.78578186035,-3.203499674198085e-06
2012-02-21,1838.7500762939453,1838.7500762939453,98530.50003051758,100369.25010681152,0.00045317593028260106
2012-02-22,1832.2856903076172,1832.2856903076172,98530.50003051758,100362.7857208252,-6.440604048996157e-05
2012-02-23,1844.2499160766602,1844.2499160766602,98530.50003051758,100374.74994659424,0.00011920978162494045
2012-02-24,1865.7499313354492,1865.7499313354492,98530.50003051758,100396.24996185303,0.00021419744776673966
2012-02-27,1877.7143478393555,1877.7143478393555,98530.50003051758,100408.21437835693,0.00011917194624744276
2012-02-28,1912.178611755371,1912.178611755371,98530.50003051758,100442.67864227295,0.0003432414780941695
2012-02-29,1937.2856140136719,1937.2856140136719,98530.50003051758,100467.78564453125,0.0002499634876098611
2012-03-01,1944.5356369018555,1944.5356369018555,98530.50003051758,100475.03566741943,7.216266230680723e-05
2012-03-02,1947.0714569091797,1947.0714569091797,98530.50003051758,100477.57148742676,2.5238309103059464e-05
2012-03-05,1904.142951965332,1904.142951965332,98530.50003051758,100434.64298248291,-0.0004272446508046812
2012-03-06,1893.7856674194336,1893.7856674194336,98530.50003051758,100424.28569793701,-0.00010312462152828328
